order_id,order_status,order_source,order_date,category,sku,quantity,sales,city
14159,Cancelled,Web,2025-12-01,Uncategorized,Neon,1,3490,Karachi
14823,Hold,Web,2025-09-06,HNS,101-12,1,1890,Hyderabad
7486,Hold,Whatsapp,2025-09-06,HNS,101-12,1,1890,Multan
14812,Hold,Web,2025-06-06,HNS,101-15,1,2390,Mianwali
14827,Hold,Web,2025-09-06,HNS,101-18,1,3190,Okara
14722,Hold,Web,2025-07-05,HNS,101-18,1,3390,Karachi
14820,Hold,Web,2025-08-06,HNS,101-18,1,3690,Karachi
14363,Shipped,Web,2025-10-02,CK,Minim9,2,1980,Toba Tek Sing
14119,Shipped,Web,2025-06-01,CK,Dng,2,3180,Lahore
14725,Cancelled,Web,2025-08-05,HNS,101-18,2,3390,Lahore
5445,Shipped,Whatsapp,2025-10-01,HNS,201-12,3,3400,Faisalabad
5463,Shipped,Whatsapp,2025-09-03,HNS,101-12,2,3580,Karachi
14604,Shipped,Web,2025-08-04,CK,Simply9,4,3960,Nowshera
14131,Shipped,Web,2025-08-01,WD,PD,4,4760,Peshawar
7480,Shipped,Whatsapp,2025-04-05,HNS,101-18,2,6780,Karachi
5455,Shipped,Whatsapp,2025-11-02,HNS,101-15,2,8380,Lahore
14122,Shipped,Web,2025-07-01,WD,pta,5,8950,Rawalpindi
